748159621-2709.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206382
748459585-2710.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206379
748759548-2711.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
74890897-2712.csv_1: True Class: high, Predicted: low, Probability: 0.7281016365020595
74890897-2712.csv_2: True Class: low, Predicted: low, Probability: 0.7156262626719297
749059512-2713.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
749359476-2714.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
749659440-2715.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206382
7499088-2716.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501833386206382
749959404-2717.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206379
750259367-2718.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
750559331-2719.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
750859295-2720.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
751159259-2721.csv_1: True Class: low, Predicted: low, Probability: 0.7501625906072106
751459107-2722.csv_1: True Class: low, Predicted: low, Probability: 0.7501291001611147
751758771-2723.csv_1: True Class: low, Predicted: low, Probability: 0.7502066332660497
75190861-2724.csv_1: True Class: low, Predicted: low, Probability: 0.7501831566255164
752058865-2725.csv_1: True Class: low, Predicted: low, Probability: 0.7502350216560912
752359113-2726.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
752659077-2727.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206382
752959041-2728.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206379
753259004-2729.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
753558968-2730.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
753858932-2731.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
754158896-2732.csv_1: True Class: low, Predicted: low, Probability: 0.7501831566255165
754458859-2733.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
754758823-2734.csv_1: True Class: low, Predicted: low, Probability: 0.7501736927573472
75490824-2735.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206382
755058733-2736.csv_1: True Class: low, Predicted: low, Probability: 0.750170234745868
755358625-2737.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
755658589-2738.csv_1: True Class: low, Predicted: low, Probability: 0.7501884344481302
755958582-2739.csv_1: True Class: low, Predicted: low, Probability: 0.7501968060142093
756258620-2740.csv_1: True Class: low, Predicted: low, Probability: 0.7501871604977572
756558605-2741.csv_1: True Class: low, Predicted: low, Probability: 0.7472604795268682
756558605-2741.csv_2: True Class: inactive, Predicted: low, Probability: 0.6950480141777357
756858569-2742.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501833386206381
757158533-2743.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501833386206382
757458497-2744.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501833386206379
757758460-2745.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501833386206381
75790788-2746.csv_1: True Class: low, Predicted: low, Probability: 0.7443148936508653
75790788-2746.csv_2: True Class: high, Predicted: low, Probability: 0.6983309323118857
758058424-2747.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501822466485837
758358381-2748.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501560383642043
758658194-2749.csv_1: True Class: inactive, Predicted: low, Probability: 0.750156220372502
758958008-2750.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501562203725018
759257822-2751.csv_1: True Class: inactive, Predicted: low, Probability: 0.7502142765058583
759557958-2752.csv_1: True Class: inactive, Predicted: low, Probability: 0.7502350216560912
759858206-2753.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501833386206381
760158170-2754.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501833386206382
760458134-2755.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501833386206379
760758097-2756.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501833386206381
76090751-2757.csv_1: True Class: high, Predicted: low, Probability: 0.7326904920466082
76090751-2757.csv_2: True Class: low, Predicted: low, Probability: 0.7108600701759016
761058061-2758.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501809726771632
761358010-2759.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501291001611144
761657674-2760.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501700527443802
761957567-2761.csv_1: True Class: inactive, Predicted: low, Probability: 0.7502375692268782
762257831-2762.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501988078827225
762557880-2763.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501807906808919
762857828-2764.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501291001611147
763157492-2765.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501702347458683
763457386-2766.csv_1: True Class: inactive, Predicted: low, Probability: 0.7502375692268782
763757650-2767.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501988078827225
76390714-2768.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
764057699-2769.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501831566255164
764357662-2770.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501833386206381
764657626-2771.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501678687196193
764957504-2772.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501425695047783
765257242-2773.csv_1: True Class: inactive, Predicted: low, Probability: 0.7502008097405327
765557303-2774.csv_1: True Class: inactive, Predicted: low, Probability: 0.7502199178446972
765857466-2775.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501291001611144
766157130-2776.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501700527443802
766457023-2777.csv_1: True Class: inactive, Predicted: low, Probability: 0.7502375692268782
766757287-2778.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501795167045203
76690678-2779.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
767057228-2780.csv_1: True Class: inactive, Predicted: low, Probability: 0.7501585864723251
767357057-2781.csv_1: True Class: inactive, Predicted: low, Probability: 0.750210454905453
